Year,Employment,Labor Force,Unemployment,Unemployment Rate,Area,Type
1998.0,50662.5,51837.25,1174.75,2.2666666666666666,"Staunton-Waynesboro, VA",MSA
1999.0,51610.333333333336,52862.583333333336,1252.25,2.3666666666666667,"Staunton-Waynesboro, VA",MSA
2000.0,54268.75,55418.833333333336,1150.0833333333333,2.091666666666667,"Staunton-Waynesboro, VA",MSA
2001.0,54588.916666666664,56288.166666666664,1699.25,3.025,"Staunton-Waynesboro, VA",MSA
2002.0,54787.916666666664,57038.083333333336,2250.1666666666665,3.9499999999999997,"Staunton-Waynesboro, VA",MSA
2003.0,54991.5,57218.416666666664,2226.9166666666665,3.9,"Staunton-Waynesboro, VA",MSA
2004.0,54072.75,56071.583333333336,1998.8333333333333,3.5666666666666664,"Staunton-Waynesboro, VA",MSA
2005.0,55425.0,57432.5,2007.5,3.4916666666666667,"Staunton-Waynesboro, VA",MSA
2006.0,56147.5,57932.0,1784.5,3.0833333333333335,"Staunton-Waynesboro, VA",MSA
2007.0,57095.583333333336,58906.5,1810.9166666666667,3.0833333333333335,"Staunton-Waynesboro, VA",MSA
2008.0,57598.0,60197.333333333336,2599.3333333333335,4.316666666666666,"Staunton-Waynesboro, VA",MSA
2009.0,56890.25,61234.833333333336,4344.583333333333,7.108333333333333,"Staunton-Waynesboro, VA",MSA
2010.0,54650.666666666664,59244.833333333336,4594.166666666667,7.758333333333333,"Staunton-Waynesboro, VA",MSA
2011.0,55482.416666666664,59514.75,4032.3333333333335,6.7749999999999995,"Staunton-Waynesboro, VA",MSA
2012.0,55265.416666666664,58806.583333333336,3541.1666666666665,6.0,"Staunton-Waynesboro, VA",MSA
2013.0,55759.0,58904.666666666664,3145.6666666666665,5.325,"Staunton-Waynesboro, VA",MSA
2014.0,56311.083333333336,59155.333333333336,2844.25,4.808333333333334,"Staunton-Waynesboro, VA",MSA
2015.0,56232.333333333336,58697.0,2464.6666666666665,4.208333333333333,"Staunton-Waynesboro, VA",MSA
2016.0,56702.833333333336,58899.5,2196.6666666666665,3.725,"Staunton-Waynesboro, VA",MSA
2017.0,57228.416666666664,59317.833333333336,2089.4166666666665,3.516666666666667,"Staunton-Waynesboro, VA",MSA
2018.0,57953.666666666664,59624.0,1670.3333333333333,2.7916666666666665,"Staunton-Waynesboro, VA",MSA
2019.0,59329.666666666664,60827.916666666664,1498.25,2.4583333333333335,"Staunton-Waynesboro, VA",MSA
2020.0,56846.5,60002.5,3156.0,5.2749999999999995,"Staunton-Waynesboro, VA",MSA
2021.0,57428.166666666664,59602.333333333336,2174.1666666666665,3.658333333333333,"Staunton-Waynesboro, VA",MSA
1990.0,204517.25,227058.08333333334,22540.833333333332,9.933333333333334,"Stockton-Lodi, CA",MSA
1991.0,203642.83333333334,231837.41666666666,28194.583333333332,12.166666666666666,"Stockton-Lodi, CA",MSA
1992.0,205574.91666666666,239629.91666666666,34055.0,14.225,"Stockton-Lodi, CA",MSA
